EID,Date,Time
2014,2022-01-01,01:35:47.744679
2005,2022-01-01,01:35:47.750678
2009,2022-01-01,01:35:47.757712
2023,2022-01-01,01:35:47.762680
2018,2022-01-01,01:35:47.767753
2027,2022-01-01,01:35:47.771729
2019,2022-01-01,01:35:47.775803
2013,2022-01-01,01:35:47.780753
2011,2022-01-01,01:35:47.784753
2021,2022-01-01,01:35:47.788446
2026,2022-01-01,01:35:47.794157
2012,2022-01-01,01:35:47.800095
2004,2022-01-01,01:35:47.805172
2008,2022-01-01,01:35:47.810098
2020,2022-01-01,01:35:47.814148
2031,2022-01-01,01:35:47.819095
2028,2022-01-01,01:35:47.823136
2017,2022-01-01,01:35:47.830141
2029,2022-01-01,01:35:47.836144
2007,2022-01-01,01:35:47.840140
2024,2022-01-01,01:35:47.844144
2011,2022-01-02,01:35:47.849136
2030,2022-01-02,01:35:47.853150
2009,2022-01-02,01:35:47.857134
2018,2022-01-02,01:35:47.861141
2005,2022-01-02,01:35:47.865142
2021,2022-01-02,01:35:47.869141
2029,2022-01-02,01:35:47.876205
2004,2022-01-02,01:35:47.880167
2027,2022-01-02,01:35:47.885167
2022,2022-01-02,01:35:47.890167
2026,2022-01-02,01:35:47.895145
2015,2022-01-02,01:35:47.899186
2017,2022-01-02,01:35:47.904149
2008,2022-01-02,01:35:47.909186
2014,2022-01-02,01:35:47.914185
2016,2022-01-02,01:35:47.922014
2013,2022-01-02,01:35:47.927044
2024,2022-01-02,01:35:47.932016
2012,2022-01-02,01:35:47.937810
2028,2022-01-02,01:35:47.941829
2016,2022-01-03,01:35:47.946823
2020,2022-01-03,01:35:47.952835
2006,2022-01-03,01:35:47.956828
2007,2022-01-03,01:35:47.961114
2021,2022-01-03,01:35:47.968134
2014,2022-01-03,01:35:47.972421
2026,2022-01-03,01:35:47.976512
2030,2022-01-03,01:35:47.982507
2005,2022-01-03,01:35:47.986526
2031,2022-01-03,01:35:47.991170
2027,2022-01-03,01:35:47.998108
2029,2022-01-03,01:35:48.002117
2009,2022-01-03,01:35:48.007153
2012,2022-01-03,01:35:48.013126
2010,2022-01-03,01:35:48.018130
2022,2022-01-03,01:35:48.022179
2023,2022-01-03,01:35:48.027275
2011,2022-01-03,01:35:48.033278
2012,2022-01-04,01:35:48.037328
2026,2022-01-04,01:35:48.042280
2024,2022-01-04,01:35:48.048278
2029,2022-01-04,01:35:48.054133
2014,2022-01-04,01:35:48.059258
2005,2022-01-04,01:35:48.064028
2021,2022-01-04,01:35:48.068043
2011,2022-01-04,01:35:48.073990
2008,2022-01-04,01:35:48.079688
2019,2022-01-04,01:35:48.083684
2016,2022-01-04,01:35:48.088623
2027,2022-01-04,01:35:48.094135
